Alcaldia,Intensidad,Entidad,Area,Perimetro
Xochimilco,Muy Alto,Ciudad de México,265362.785848,3090.54263543
Tlalpan,Bajo,Ciudad de México,184945.187069,2322.30991931
Tlalpan,Muy Bajo,Ciudad de México,162410.124244,1752.67657471
Tláhuac,Alto,Ciudad de México,529272.752622,4482.86303481
Iztacalco,Medio,Ciudad de México,285026.144896,2557.23847606
Tlalpan,Bajo,Ciudad de México,183352.480211,2149.89763089
Iztapalapa,Alto,Ciudad de México,365614.178206,3633.52019453
Iztapalapa,Medio,Ciudad de México,309271.97320300003,2970.62308703
Iztapalapa,Alto,Ciudad de México,390329.830861,3124.82844225
Azcapotzalco,Medio,Ciudad de México,392212.15103899996,2725.10560425
Coyoacán,Bajo,Ciudad de México,360003.523041,3572.03645655
Iztacalco,Medio,Ciudad de México,237563.63502,2266.87341052
Iztacalco,Bajo,Ciudad de México,158509.41151600002,1653.45973296
Gustavo A. Madero,Medio,Ciudad de México,305570.328797,2363.62728176
Iztacalco,Alto,Ciudad de México,144408.23941900002,1901.92132997
Coyoacán,Muy Bajo,Ciudad de México,359112.403269,2362.1536908000003
Tláhuac,Alto,Ciudad de México,119472.709999,2099.93067431
Tláhuac,Alto,Ciudad de México,155320.450418,1627.27049973
Iztapalapa,Alto,Ciudad de México,140355.674176,2076.25616369
Iztapalapa,Medio,Ciudad de México,118885.671754,1590.29520622
Iztapalapa,Muy Bajo,Ciudad de México,130315.826861,1432.94105596
Iztapalapa,Alto,Ciudad de México,317840.58015,2720.36528457
Iztacalco,Medio,Ciudad de México,71250.0770742,1250.2967888
Iztapalapa,Alto,Ciudad de México,266886.567801,2107.55968299
Iztapalapa,Alto,Ciudad de México,98300.633741,1266.62792766
Iztapalapa,Alto,Ciudad de México,48844.15487790001,904.32390243
Iztapalapa,Muy Alto,Ciudad de México,483672.586042,2886.34199979
Iztapalapa,Medio,Ciudad de México,19395.329545700002,664.816032832
Iztapalapa,Alto,Ciudad de México,14703.750016999998,488.540490029
Iztapalapa,Medio,Ciudad de México,148957.081798,1862.93319351
Iztapalapa,Alto,Ciudad de México,105373.548631,1634.26987895
Iztapalapa,Medio,Ciudad de México,570480.007479,3380.99096847
Iztapalapa,Medio,Ciudad de México,179264.724522,2643.21174473
Iztapalapa,Alto,Ciudad de México,148139.53938,1565.43095693
Iztapalapa,Alto,Ciudad de México,137924.64469400002,1860.01420331
Iztapalapa,Medio,Ciudad de México,414508.712706,2754.00330955
Tláhuac,Alto,Ciudad de México,727304.306172,5209.40077115
Tláhuac,Alto,Ciudad de México,256316.43738000002,2238.40476776
Tláhuac,Medio,Ciudad de México,230048.42995,2660.49060122
Gustavo A. Madero,Medio,Ciudad de México,273235.847467,2276.95173976
Gustavo A. Madero,Medio,Ciudad de México,288547.997315,3216.66075479
